Company,Person (Full Name),Race (White/POC),Gender (Female/Male),Position,Sources (web links),Timestamp (date),,,,,,,,,,,,,,,,,,,,
Netflix,Reed Hastings,White,Male,Founder and Co-CEO,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,David Hyman,White,Male,Chief Legal Officer,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Jessica Neal,White,Female,Chief Talent Officer,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Spencer Neumann,White,Male,Chief Financial Officer,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Greg Peters,White,Male,COO and Chief Product Officer,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Bozoma Saint John,POC,Female,Chief Marketing Officer,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Ted Sarandos,White,Male,Co-CEO and Chief Content Officer,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Rachel Whetstone,White,Female,Chief Communications Officer,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Richard Barton,White,Male,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Rodolphe Belmer,White,Male,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Mathias Döpfner,White,Male,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Timothy Haley,White,Male,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Jay Hoag,White,Male,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Leslie Kilgore,White,Female,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Ann Mather,White,Female,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Susan Rice,POC,Female,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Brad Smith,White,Male,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Netflix,Anne Sweeney,White,Female,Board of Directors,https://www.netflixinvestor.com/governance/officers-and-directors/default.aspx,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Evan Speigel,White,Male,Co-Founder and CEO,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Robert Murphy,POC,Male,Co-Founder and Chief Technology Officer,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Derek Andersen,White,Male,Chief Financial Officer,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Jacob Andreou,White,Male,Vice President of Product,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Jeremi Gorman,White,Female,Chief Business Officer,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Julie Henderson,White,Female,Chief Communications Officer,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Jared Grusd,White,Male,Chief Strategy Officer,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Jerry Hunter,White,Male,"Senior Vice President, Engineering",https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Betsy Kenny Lack,White,Female,Head of Global Brand Strategy,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Kenny Mitchell,POC,Male,Chief Marketing Officer,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Rebecca Morrow,White,Female,Chief Accounting Officer and Controller,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Michael O'Sullivan,White,Male,General Counsel,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Eitan Pilipski,White,Male,Senior Vice President of Camera Platform,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Lara Sweet,White,Female,Chief People Officer,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Michael Lynton,White,Male,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Kelly Coffey,White,Female,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Joanna Coles,White,Female,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,A.G. Lafley,White,Male,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Stanley Meresman,White,Male,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
Snapchat,Scott D. Miller,White,Male,Board of Directors,https://investor.snap.com/corporate-governance/officers-and-directors/executive-officers,8/13/20,,,,,,,,,,,,,,,,,,,,
